year,event
1832,the Christmas Rebellion of slaves is brought to an end in Jamaica
1837,Charles Dickens's Oliver Twist begins publication in serial form in London.
1841,El Salvador proclaims itself an independent republic
1847,the first passenger railway wholly within modern-day Denmark opens
1852,the new Palace of Westminster opens in London
1857,the Anglo-Persian War ends
1859,A Tale of Two Cities by Charles Dickens is published in England
1868,the current Japanese era name is changed to the Meiji period
1874,New York City annexes The Bronx
1880,the journal Science is first published in the United States
1885,Eastern Rumelia declares its union with Bulgaria
1886,the first train load of oranges leaves Los Angeles via the United States transcontinental railroad
1895,Oscar Wilde is arrested in London
1900,a new millennium started
